,,Mass
Time,File  W: AS ,File R: Mass 
min,rpm,g
33.351,0.5,1280.8
33.384,0.5,1280.8
33.418,0.5,1280.8
33.451,0.5,1280.8
33.484,0.5,1280.8
33.518,0.5,1280.8
33.551,0.5,1280.8
33.584,0.5,1280.8
33.618,0.5,1280.8
33.651,0.5,1280.7
33.684,0.5,1280.8
33.718,0.5,1280.8
33.751,0.5,1280.7
33.784,0.5,1280.7
33.818,0.5,1280.7
33.851,0.5,1280.8
33.884,0.5,1280.8
33.918,0.5,1280.8
33.951,0.5,1280.8
33.984,0.5,1280.8
34.018,0.5,1280.8
34.051,0.5,1280.7
34.084,0.5,1280.7
34.118,0.5,1280.7
34.151,0.5,1280.7
34.184,0.5,1280.7
34.218,0.5,1280.7
34.251,0.5,1280.6
34.284,0.5,1280.6
34.318,0.5,1280.6
34.351,0.5,1280.7
34.384,0.5,1280.6
34.418,0.5,1280.6
34.451,0.5,1280.7
34.484,0.5,1280.7
34.518,0.5,1280.7
34.551,0.5,1280.6
34.584,0.5,1280.6
34.618,0.5,1280.6
34.651,0.5,1280.6
34.684,0.5,1280.6
34.718,0.5,1280.6
34.751,0.5,1280.5
34.784,0.5,1280.5
34.818,0.5,1280.6
34.851,0.5,1280.6
34.884,0.5,1280.6
34.918,0.5,1280.6
34.951,0.5,1280.6
34.984,0.5,1280.6
35.018,0.5,1280.6
35.051,0.5,1280.5
35.084,0.5,1280.5
35.118,0.5,1280.5
35.151,0.5,1280.5
35.184,0.5,1280.5
35.218,0.5,1280.5
35.251,0.5,1280.5
35.284,0.5,1280.5
35.318,0.5,1280.5
35.351,0.5,1280.4
35.384,0.5,1280.4
35.418,0.5,1280.4
35.451,0.5,1280.3
35.484,0.5,1280.3
35.518,0.5,1280.3
35.551,0.5,1280.3
35.584,0.5,1280.3
35.618,0.5,1280.3
35.651,0.5,1280.3
35.684,0.5,1280.3
35.718,0.5,1280.4
35.751,0.5,1280.4
35.784,0.5,1280.4
35.818,0.5,1280.4
35.851,0.5,1280.4
35.884,0.5,1280.4
35.918,0.5,1280.4
35.951,0.5,1280.4
35.984,0.5,1280.4
36.018,0.5,1280.4
36.051,0.5,1280.4
36.084,0.5,1280.4
36.118,0.5,1280.4
36.151,0.5,1280.4
36.185,0.5,1280.3
36.218,0.5,1280.4
36.251,0.5,1280.4
36.284,0.5,1280.4
36.318,0.5,1280.3
36.351,0.5,1280.3
36.384,0.5,1280.3
36.418,0.5,1280.3
36.451,0.5,1280.3
36.484,0.5,1280.3
36.518,0.5,1280.3
36.551,0.5,1280.3
36.584,0.5,1280.3
36.618,0.5,1280.3
